OTUID	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_23059	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23060	Bacteria	Cyanobacteria/Chloroplast	Cyanobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23061	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23062	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Unclassified
OTU_23063	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unclassified	Unclassified	Unclassified
OTU_23064	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Unclassified	Unclassified
OTU_23065	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Smithella	Unclassified
OTU_23066	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23067	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	Unclassified
OTU_23068	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Unclassified
OTU_23069	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Unclassified
OTU_23070	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Fimbriiglobus	Unclassified
OTU_23071	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23072	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Parviterribacteraceae	Parviterribacter	Unclassified
OTU_23073	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Unclassified	Unclassified	Unclassified
OTU_23074	Bacteria	Candidatus Saccharibacteria	Unclassified	Unclassified	Unclassified	Saccharibacteria genera incertae sedis	Unclassified
OTU_23075	Bacteria	Acidobacteria	Acidobacteria Gp9	Unclassified	Unclassified	Gp9	Unclassified
OTU_23076	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Unclassified	Unclassified	Unclassified
OTU_23077	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unclassified	Unclassified
OTU_23078	Bacteria	Firmicutes	Clostridia	Clostridiales	Tissierellaceae	Tissierella	Unclassified
OTU_23079	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23080	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Unclassified	Unclassified	Unclassified
OTU_23081	Bacteria	Armatimonadetes	Unclassified	Unclassified	Unclassified	Armatimonadetes gp4	Unclassified
OTU_23082	Bacteria	Acidobacteria	Acidobacteria Gp6	Unclassified	Unclassified	Gp6	Unclassified
OTU_23083	Bacteria	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	Anaerohalosphaera	Unclassified
